PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Clint Capela,"Wed
3/6",ATL,vs,CLE,"W
112-101",23,8,9,3,0,0,4,6,66.7,0,0,,0,0,,66.7,2,7,0,3,=+6
Clint Capela,"Tue
3/5",ATL,@,NYK,"W
116-100",25,13,9,3,0,1,5,11,45.5,0,0,,3,4,75.0,50.9,3,6,1,2,=+13
Clint Capela,"Sat
3/2",ATL,@,BKN,"L
102-114",24,11,10,2,1,0,4,7,57.1,0,0,,3,4,75.0,62.8,5,5,1,2,-4
Clint Capela,"Fri
4/12",ATL,@,MIN,"L
106-109",26,13,11,3,1,1,6,8,75.0,0,0,,1,2,50.0,73.2,2,9,1,2,=+4
Clint Capela,"Wed
4/10",ATL,vs,CHA,"L
114-115",21,15,6,0,1,0,7,10,70.0,0,0,,1,2,50.0,68.9,0,6,0,0,=+14
Clint Capela,"Tue
4/9",ATL,vs,MIA,"L
111-117",37,6,11,2,0,0,3,8,37.5,0,0,,0,0,,37.5,6,5,1,1,-11
Clint Capela,"Sat
4/6",ATL,@,DEN,"L
110-142",30,19,12,3,1,0,5,6,83.3,0,0,,9,12,75.0,84.2,5,7,1,2,-4
Clint Capela,"Thu
4/4",ATL,@,DAL,"L
95-109",29,6,13,2,1,1,3,7,42.9,0,0,,0,2,0.0,38.1,5,8,5,2,-25
Clint Capela,"Wed
4/3",ATL,vs,DET,"W
121-113",30,11,16,1,0,2,5,9,55.6,0,0,,1,2,50.0,55.7,2,14,1,1,=+30
Clint Capela,"Mon
4/1",ATL,@,CHI,"W
113-101",26,15,11,1,1,2,6,9,66.7,0,0,,3,7,42.9,62.1,5,6,1,2,=+12
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,"Thu
11/30",CLE,vs,POR,"L
95-103",38,12,10,2,0,2,6,9,66.7,0,0,,0,0,,66.7,6,4,1,3,-3
Jarrett Allen,"Tue
11/28",CLE,vs,ATL,"W
128-105",30,11,8,2,0,0,5,6,83.3,0,0,,1,1,100.0,85.4,1,7,0,4,=+16
Jarrett Allen,"Sun
11/26",CLE,vs,TOR,"W
105-102",27,18,4,3,0,2,9,10,90.0,0,0,,0,0,,90.0,3,1,2,4,-13
Jarrett Allen,"Sat
11/25",CLE,vs,LAL,"L
115-121",37,21,14,3,3,2,9,12,75.0,0,0,,3,4,75.0,76.3,5,9,2,3,-3
Jarrett Allen,"Wed
11/22",CLE,vs,MIA,"L
96-129",23,4,4,2,0,0,1,2,50.0,0,0,,2,2,100.0,69.4,0,4,3,2,-24
Jarrett Allen,"Tue
11/21",CLE,@,PHI,"W
122-119",35,26,13,3,0,0,12,20,60.0,0,0,,2,2,100.0,62.3,6,7,2,4,-6
Jarrett Allen,"Sun
11/19",CLE,vs,DEN,"W
121-109",29,15,5,5,1,0,6,10,60.0,0,0,,3,6,50.0,59.3,2,3,2,3,=+42
Jarrett Allen,"Fri
11/17",CLE,vs,DET,"W
108-100",32,10,7,2,0,5,4,8,50.0,0,0,,2,3,66.7,53.6,1,6,2,1,=+5
Jarrett Allen,"Wed
11/15",CLE,@,POR,"W
109-95",29,11,9,1,0,3,3,3,100.0,0,0,,5,6,83.3,97.5,1,8,3,3,0
Jarrett Allen,"Mon
11/13",CLE,@,SAC,"L
120-132",22,12,9,1,0,0,5,6,83.3,0,0,,2,3,66.7,82.0,4,5,2,2,-25
Jarrett Allen,"Sat
11/11",CLE,@,GSW,"W
118-110",28,12,5,4,0,0,2,6,33.3,0,0,,8,9,88.9,60.2,3,2,1,4,=+13
Jarrett Allen,"Wed
11/8",CLE,@,OKC,"L
120-128",26,14,6,1,2,1,4,6,66.7,0,0,,6,9,66.7,70.3,4,2,1,0,-4
Jarrett Allen,"Sun
11/5",CLE,vs,GSW,"W
115-104",28,12,9,3,0,0,5,7,71.4,0,0,,2,2,100.0,76.1,5,4,2,1,=+9
